Filename,Nucleus_ID,Condition,Area_um2,Equivalent_diameter_um,Perimeter_um,Eccentricity,Solidity,Orientation_rad,DAPI_mean_intensity,DAPI_integrated_intensity,Actin_mean_intensity,Centroid_y_px,Centroid_x_px
MAX_Blebbi-Airyscan Processing-02.czi - Blebbi-Airyscan Processing-02.czi #1.tif,MAX_Blebbi-Airyscan Processing-02.czi - Blebbi-Airyscan Processing-02.czi #1_nucleus_0001,Blebbi,139.2911189780864,13.317318082606201,44.3218142963839,0.4350677674377881,0.991743517937328,-0.27341783879149845,2655.152099609375,54536824.12597656,708.5193481445312,324.5349074975657,472.5033592989289
MAX_Blebbi-Airyscan Processing-02.czi - Blebbi-Airyscan Processing-02.czi #2.tif,MAX_Blebbi-Airyscan Processing-02.czi - Blebbi-Airyscan Processing-02.czi #2_nucleus_0001,Blebbi,151.5791183738163,13.892319016983276,48.18982135049588,0.6121934491700949,0.9745378444366934,-1.1820876003449907,2948.91845703125,65914225.3515625,1440.4442138671875,328.6621331424481,474.0545365068003
MAX_Blebbi-Airyscan Processing-02.czi - Blebbi-Airyscan Processing-02.czi #3.tif,MAX_Blebbi-Airyscan Processing-02.czi - Blebbi-Airyscan Processing-02.czi #3_nucleus_0001,Blebbi,162.57185955509564,14.387248536349082,47.69915201048788,0.36792311229403435,0.9918083653965496,0.2173880352354674,4306.78369140625,103246525.43408203,4424.0966796875,355.6314186793476,457.00692445668045
MAX_Blebbi-Airyscan Processing-02.czi - Blebbi-Airyscan Processing-02.czi #4.tif,MAX_Blebbi-Airyscan Processing-02.czi - Blebbi-Airyscan Processing-02.czi #4_nucleus_0001,Blebbi,191.90165943728763,15.631275747547107,51.95307329519187,0.5236868785924378,0.9932607932607933,0.43530167065133735,3629.44775390625,102706112.54003906,2032.3787841796875,268.44586189836735,348.91865149480526
MAX_Blebbi-Airyscan Processing-02.czi - Blebbi-Airyscan Processing-02.czi #5.tif,MAX_Blebbi-Airyscan Processing-02.czi - Blebbi-Airyscan Processing-02.czi #5_nucleus_0001,Blebbi,126.33853683358078,12.683028862243237,43.9124904422719,0.6900937101527533,0.9764150943396226,-1.2228846322206746,2987.5361328125,55657798.154296875,2001.7279052734375,207.6998389694042,348.1243156199678
MAX_Blebbi-Airyscan Processing-02.czi - Blebbi-Airyscan Processing-02.czi #5.tif,MAX_Blebbi-Airyscan Processing-02.czi - Blebbi-Airyscan Processing-02.czi #5_nucleus_0002,Blebbi,131.58060280096447,12.94347815721409,44.654640956375886,0.7364322894840774,0.9802960642651443,-1.1614946386089928,2932.1162109375,56891850.84082031,1713.5146484375,412.685873318559,419.7256094418389
MAX_Blebbi-Airyscan Processing-02.czi - Blebbi-Airyscan Processing-02.czi #6.tif,MAX_Blebbi-Airyscan Processing-02.czi - Blebbi-Airyscan Processing-02.czi #6_nucleus_0001,Blebbi,125.78923884734782,12.65542702569059,41.84304974461588,0.3118469025723974,0.9903892359442575,-0.8389929183096771,2910.16064453125,53980569.795410156,3118.88671875,339.5951803331716,526.3171599547145
MAX_Blebbi-Airyscan Processing-02.czi - Blebbi-Airyscan Processing-02.czi #6.tif,MAX_Blebbi-Airyscan Processing-02.czi - Blebbi-Airyscan Processing-02.czi #6_nucleus_0002,Blebbi,118.7907756153427,12.298337817087958,41.0809178669839,0.4211325170426851,0.9862620347953381,-1.0641782113948848,2718.5185546875,47620289.52246094,1397.754150390625,407.76679796768855,300.78934749100875
MAX_Blebbi-Airyscan Processing-02.czi - Blebbi-Airyscan Processing-02.czi #7.tif,MAX_Blebbi-Airyscan Processing-02.czi - Blebbi-Airyscan Processing-02.czi #7_nucleus_0001,Blebbi,170.682481672807,14.741766693966925,49.70380032578388,0.3773146277440625,0.9859756336428096,1.0264223579686154,4104.373046875,103302965.21679688,1486.36767578125,324.2861456553697,326.6716993126465
MAX_Blebbi-Airyscan Processing-02.czi - Blebbi-Airyscan Processing-02.czi #8-1.tif,MAX_Blebbi-Airyscan Processing-02.czi - Blebbi-Airyscan Processing-02.czi #8-1_nucleus_0001,Blebbi,242.74902117524732,17.580604460770918,58.82078038458385,0.5696873063116803,0.9936433032616239,-1.309544128889012,3443.885986328125,123277342.76660156,4855.62109375,238.51424740194435,426.11543189183146
